FileIndex, V(original), T(original), E(original), tms(original), V(leaf), T(leaf), E(leaf), tms(leaf), V(deg2), T(deg2), E(deg2), tms(deg2), V(both), T(both), E(both), tms(both)
1, 6405, 16, 10454, 44, 6389, 16, 10438, 4, 5612, 16, 9655, 21, 5582, 16, 9624, 19
2, 7998, 16, 14734, 20, 7998, 16, 14734, 5, 7994, 16, 14730, 6, 7994, 16, 14730, 7
3, 8007, 24, 14743, 11, 8007, 24, 14743, 4, 8003, 24, 14739, 9, 8003, 24, 14739, 6
4, 19083, 24, 35636, 29, 19083, 24, 35636, 15, 19079, 24, 35632, 16, 19079, 24, 35632, 21
5, 8013, 30, 14749, 11, 8013, 30, 14749, 5, 8009, 30, 14745, 4, 8009, 30, 14745, 5
6, 19091, 31, 35644, 28, 19091, 31, 35644, 15, 19087, 31, 35640, 10, 19087, 31, 35640, 19
7, 38282, 34, 71521, 81, 38282, 34, 71521, 33, 38278, 34, 71517, 36, 38278, 34, 71517, 68
8, 8017, 36, 14753, 9, 8017, 36, 14753, 4, 8013, 36, 14749, 5, 8013, 36, 14749, 4
9, 3803, 38, 6213, 4, 3802, 38, 6212, 1, 3803, 38, 6213, 1, 3802, 38, 6212, 2
10, 2363, 40, 3761, 2, 2360, 40, 3758, 1, 2363, 40, 3761, 1, 2355, 40, 3752, 2
11, 19100, 40, 35653, 26, 19100, 40, 35653, 13, 19096, 40, 35649, 15, 19096, 40, 35649, 19
12, 38294, 45, 71533, 70, 38294, 45, 71533, 32, 38290, 45, 71529, 31, 38290, 45, 71529, 38
13, 550, 50, 5013, 9, 550, 50, 5013, 0, 550, 50, 5013, 0, 550, 50, 5013, 0
14, 1000, 50, 13500, 7, 1000, 50, 13500, 3, 1000, 50, 13500, 2, 1000, 50, 13500, 0
15, 1000, 50, 13500, 12, 1000, 50, 13500, 3, 1000, 50, 13500, 4, 1000, 50, 13500, 0
16, 1991, 51, 3176, 2, 1985, 51, 3170, 1, 1991, 51, 3176, 0, 1980, 51, 3165, 1
17, 3716, 52, 6750, 5, 3716, 52, 6750, 1, 3712, 52, 6746, 2, 3712, 52, 6746, 2
18, 19112, 53, 35665, 45, 19112, 53, 35665, 17, 19108, 53, 35661, 13, 19108, 53, 35661, 16
19, 38307, 58, 71546, 72, 38307, 58, 71546, 30, 38303, 58, 71542, 30, 38303, 58, 71542, 34
20, 838, 60, 1763, 1, 837, 60, 1762, 1, 837, 60, 1762, 0, 836, 60, 1761, 0
21, 1331, 61, 19965, 12, 1331, 61, 19965, 4, 1331, 61, 19965, 4, 1331, 61, 19965, 0
22, 1331, 61, 19965, 13, 1331, 61, 19965, 4, 1331, 61, 19965, 5, 1331, 61, 19965, 0
