FileIndex, #Vertices, #Edges, #Terminals, #ArtiPoints, Time(ms)
1, 6405, 10454, 16, 31, 19
2, 7998, 14734, 16, 0, 19
3, 8007, 14743, 24, 0, 10
4, 19083, 35636, 24, 0, 17
5, 8013, 14749, 30, 0, 7
6, 19091, 35644, 31, 0, 17
7, 38282, 71521, 34, 0, 33
8, 8017, 14753, 36, 0, 9
9, 3803, 6213, 38, 4, 3
10, 2363, 3761, 40, 8, 2
11, 19100, 35653, 40, 0, 19
12, 38294, 71533, 45, 0, 52
13, 550, 5013, 50, 0, 6
14, 1000, 13500, 50, 0, 6
15, 1000, 13500, 50, 0, 8
16, 1991, 3176, 51, 12, 1
17, 3716, 6750, 52, 0, 3
18, 19112, 35665, 53, 0, 22
19, 38307, 71546, 58, 0, 60
20, 838, 1763, 60, 3, 1
21, 1331, 19965, 61, 0, 13
22, 1331, 19965, 61, 0, 14
23, 1331, 19965, 61, 0, 15
24, 670, 1316, 62, 2, 1
25, 512, 2304, 64, 0, 1
26, 512, 2304, 64, 0, 0
27, 1822, 3610, 64, 18, 2
28, 2521, 4858, 66, 11, 3
29, 987, 1923, 67, 82, 1
30, 11543, 18429, 68, 51, 12
31, 1728, 28512, 74, 0, 21
32, 1728, 28512, 74, 0, 22
33, 1728, 28512, 74, 0, 23
34, 729, 1395, 75, 2, 1
35, 1761, 3370, 76, 32, 2
36, 729, 4368, 76, 0, 2
37, 2346, 4656, 78, 35, 3
38, 833, 1595, 79, 26, 1
39, 320, 640, 80, 46, 0
40, 320, 640, 80, 53, 1
41, 320, 1845, 80, 0, 0
42, 320, 1845, 80, 0, 1
43, 1491, 2831, 80, 10, 1
44, 320, 10208, 80, 0, 6
45, 320, 10208, 80, 0, 6
46, 320, 51040, 80, 0, 30
47, 320, 51040, 80, 0, 31
48, 8062, 14798, 81, 0, 8
49, 3168, 6220, 83, 13, 3
50, 2356, 4547, 84, 40, 2
51, 528, 1017, 85, 3, 0
52, 1360, 2607, 86, 2, 1
53, 743, 1409, 88, 2, 1
54, 78834, 95732, 88, 88, 58
55, 1343, 2594, 91, 35, 1
56, 1765, 3613, 92, 78, 2
57, 1976, 3836, 94, 47, 2
58, 2404, 4469, 95, 34, 3
59, 2518, 4985, 96, 29, 2
60, 42481, 52552, 97, 50, 35
61, 2265, 4545, 98, 57, 2
62, 2076, 4072, 99, 3, 2
63, 9469, 22743, 100, 2, 34
64, 67966, 82485, 100, 61, 57
65, 10393, 18043, 104, 44, 10
66, 19177, 35730, 117, 0, 23
67, 3224, 5285, 126, 25, 3
68, 1024, 5120, 135, 0, 2
69, 1024, 5120, 135, 0, 2
70, 1024, 5120, 135, 0, 3
71, 640, 1280, 160, 75, 1
72, 640, 1280, 160, 83, 1
73, 640, 4135, 160, 0, 2
