FileIndex, #Vertices, #Edges, #Terminals, #ArtiPoints, Time(ms)
1, 53, 80, 4, 0, 1
2, 2500, 3125, 5, 1506, 12
3, 2500, 5000, 5, 341, 11
4, 2500, 12500, 5, 0, 16
5, 2500, 62500, 5, 0, 45
6, 55, 82, 6, 0, 0
7, 157, 266, 6, 0, 0
8, 307, 526, 6, 0, 1
9, 57, 84, 8, 0, 0
10, 64, 288, 8, 0, 0
11, 64, 288, 8, 0, 0
12, 160, 269, 9, 0, 0
13, 640, 960, 9, 221, 0
14, 640, 960, 9, 256, 1
15, 640, 960, 9, 241, 0
16, 640, 960, 9, 230, 1
17, 640, 960, 9, 252, 0
18, 640, 4135, 9, 0, 2
19, 640, 4135, 9, 0, 2
20, 640, 4135, 9, 0, 3
21, 640, 4135, 9, 0, 2
22, 640, 4135, 9, 0, 2
23, 640, 204480, 9, 0, 107
24, 640, 204480, 9, 0, 103
25, 640, 204480, 9, 0, 119
26, 640, 204480, 9, 0, 108
27, 90, 135, 10, 3, 0
28, 169, 280, 10, 0, 0
29, 179, 293, 10, 4, 0
30, 286, 465, 10, 3, 0
31, 298, 503, 10, 0, 0
32, 311, 530, 10, 0, 0
33, 331, 560, 10, 0, 0
34, 541, 906, 10, 5, 1
35, 609, 932, 10, 4, 0
36, 632, 1087, 10, 5, 0
37, 777, 1239, 10, 4, 1
38, 816, 1460, 10, 0, 1
39, 875, 1522, 10, 0, 0
40, 957, 1554, 10, 9, 1
41, 898, 1562, 10, 2, 1
42, 938, 1655, 10, 2, 1
43, 918, 1684, 10, 6, 1
44, 1080, 2015, 10, 5, 1
45, 1290, 2270, 10, 12, 1
46, 2500, 3125, 10, 1501, 2
47, 2500, 5000, 10, 324, 3
48, 3023, 5575, 10, 2, 4
49, 3221, 5938, 10, 6, 4
50, 5181, 8893, 10, 18, 6
51, 2500, 12500, 10, 0, 8
52, 2500, 62500, 10, 0, 59
53, 128, 227, 11, 5, 1
54, 123, 233, 11, 0, 0
55, 191, 302, 11, 0, 0
56, 212, 381, 11, 0, 0
57, 237, 390, 11, 3, 0
58, 317, 476, 11, 12, 0
59, 278, 478, 11, 6, 0
60, 338, 541, 11, 9, 0
61, 353, 608, 11, 2, 0
62, 402, 695, 11, 2, 0
63, 572, 963, 11, 4, 1
64, 663, 1154, 11, 0, 1
65, 720, 1269, 11, 1, 0
66, 921, 1558, 11, 9, 1
67, 3675, 6709, 11, 0, 5
68, 84, 149, 12, 7, 0
69, 64, 192, 12, 0, 0
