data\exact
FileIndex, V(original), T(original), E(original), tms(original), V(leaf), T(leaf), E(leaf), tms(leaf), V(deg2), T(deg2), E(deg2), tms(deg2), V(both), T(both), E(both), tms(both)
1, 53, 4, 80, 3, 53, 4, 80, 0, 49, 4, 76, 0, 49, 4, 76, 0
2, 2500, 5, 3125, 18, 1556, 5, 2181, 4, 1718, 5, 2343, 21, 694, 5, 1319, 9
3, 2500, 5, 5000, 8, 2319, 5, 4819, 2, 2048, 5, 4548, 4, 1850, 5, 4350, 6
4, 2500, 5, 12500, 27, 2500, 5, 12500, 3, 2498, 5, 12498, 2, 2498, 5, 12498, 3
5, 2500, 5, 62500, 233, 2500, 5, 62500, 12, 2500, 5, 62500, 34, 2500, 5, 62500, 0
6, 55, 6, 82, 0, 55, 6, 82, 0, 51, 6, 78, 0, 51, 6, 78, 0
7, 157, 6, 266, 0, 157, 6, 266, 0, 153, 6, 262, 0, 153, 6, 262, 0
8, 307, 6, 526, 0, 307, 6, 526, 0, 303, 6, 522, 0, 303, 6, 522, 0
9, 57, 8, 84, 0, 57, 8, 84, 0, 53, 8, 80, 0, 53, 8, 80, 0
10, 64, 8, 288, 0, 64, 8, 288, 0, 64, 8, 288, 1, 64, 8, 288, 0
11, 64, 8, 288, 0, 64, 8, 288, 0, 64, 8, 288, 0, 64, 8, 288, 0
12, 160, 9, 269, 0, 160, 9, 269, 0, 156, 9, 265, 0, 156, 9, 265, 0
13, 640, 9, 960, 0, 518, 9, 838, 0, 465, 9, 785, 1, 320, 9, 638, 2
14, 640, 9, 960, 0, 493, 9, 813, 0, 477, 9, 796, 1, 307, 9, 624, 2
15, 640, 9, 960, 0, 503, 9, 823, 0, 460, 9, 780, 1, 312, 9, 632, 1
16, 640, 9, 960, 1, 509, 9, 829, 0, 458, 9, 778, 1, 309, 9, 628, 1
17, 640, 9, 960, 1, 499, 9, 819, 0, 481, 9, 801, 0, 324, 9, 644, 1
18, 640, 9, 4135, 3, 640, 9, 4135, 0, 640, 9, 4135, 0, 640, 9, 4135, 0
19, 640, 9, 4135, 3, 640, 9, 4135, 1, 640, 9, 4135, 0, 640, 9, 4135, 0
20, 640, 9, 4135, 4, 640, 9, 4135, 1, 640, 9, 4135, 1, 640, 9, 4135, 0
21, 640, 9, 4135, 4, 640, 9, 4135, 0, 640, 9, 4135, 1, 640, 9, 4135, 0
22, 640, 9, 4135, 4, 640, 9, 4135, 1, 640, 9, 4135, 1, 640, 9, 4135, 0
23, 640, 9, 204480, 2689, 640, 9, 204480, 48, 640, 9, 204480, 36, 640, 9, 204480, 0
24, 640, 9, 204480, 2517, 640, 9, 204480, 53, 640, 9, 204480, 37, 640, 9, 204480, 0
25, 640, 9, 204480, 2890, 640, 9, 204480, 37, 640, 9, 204480, 43, 640, 9, 204480, 0
26, 640, 9, 204480, 3576, 640, 9, 204480, 42, 640, 9, 204480, 50, 640, 9, 204480, 0
27, 90, 10, 135, 28, 88, 10, 133, 0, 76, 10, 121, 0, 74, 10, 119, 0
28, 169, 10, 280, 4, 169, 10, 280, 0, 154, 10, 265, 0, 154, 10, 265, 1
29, 179, 10, 293, 10, 177, 10, 291, 0, 164, 10, 278, 0, 161, 10, 275, 1
30, 286, 10, 465, 12, 284, 10, 463, 0, 261, 10, 440, 0, 259, 10, 438, 0
31, 298, 10, 503, 20, 298, 10, 503, 0, 277, 10, 482, 0, 277, 10, 482, 0
32, 311, 10, 530, 18, 311, 10, 530, 0, 307, 10, 526, 1, 307, 10, 526, 0
33, 331, 10, 560, 11, 331, 10, 560, 0, 295, 10, 522, 0, 291, 10, 516, 1
34, 541, 10, 906, 4, 538, 10, 903, 0, 493, 10, 858, 0, 489, 10, 854, 1
35, 609, 10, 932, 10, 607, 10, 930, 0, 502, 10, 824, 1, 499, 10, 821, 1
36, 632, 10, 1087, 14, 629, 10, 1084, 0, 590, 10, 1043, 0, 585, 10, 1038, 1
37, 777, 10, 1239, 18, 775, 10, 1237, 1, 686, 10, 1148, 0, 683, 10, 1145, 0
38, 816, 10, 1460, 14, 816, 10, 1460, 0, 812, 10, 1456, 0, 812, 10, 1456, 0
39, 875, 10, 1522, 4, 875, 10, 1522, 0, 821, 10, 1467, 0, 817, 10, 1461, 1
40, 957, 10, 1554, 8, 952, 10, 1549, 0, 855, 10, 1449, 0, 846, 10, 1440, 1
41, 898, 10, 1562, 7, 897, 10, 1561, 1, 841, 10, 1503, 1, 834, 10, 1493, 2
42, 938, 10, 1655, 18, 937, 10, 1654, 0, 908, 10, 1625, 0, 906, 10, 1623, 1
43, 918, 10, 1684, 15, 913, 10, 1679, 0, 885, 10, 1651, 0, 883, 10, 1649, 0
44, 1080, 10, 2015, 11, 1077, 10, 2012, 0, 1050, 10, 1985, 0, 1047, 10, 1982, 0
45, 1290, 10, 2270, 42, 1283, 10, 2263, 0, 1205, 10, 2181, 1, 1197, 10, 2173, 1
46, 2500, 10, 3125, 16, 1585, 10, 2210, 2, 1764, 10, 2388, 6, 717, 10, 1341, 12
47, 2500, 10, 5000, 18, 2329, 10, 4829, 1, 2073, 10, 4572, 3, 1896, 10, 4395, 6
48, 3023, 10, 5575, 20, 3022, 10, 5574, 1, 2936, 10, 5487, 2, 2934, 10, 5485, 3
49, 3221, 10, 5938, 20, 3218, 10, 5935, 1, 3141, 10, 5856, 1, 3136, 10, 5851, 2
50, 5181, 10, 8893, 24, 5172, 10, 8884, 2, 4878, 10, 8587, 2, 4859, 10, 8567, 5
51, 2500, 10, 12500, 48, 2500, 10, 12500, 2, 2500, 10, 12500, 2, 2500, 10, 12500, 0
52, 2500, 10, 62500, 297, 2500, 10, 62500, 22, 2500, 10, 62500, 22, 2500, 10, 62500, 0
53, 128, 11, 227, 15, 126, 11, 225, 0, 124, 11, 223, 0, 123, 11, 222, 0
54, 123, 11, 233, 3, 123, 11, 233, 0, 120, 11, 229, 0, 120, 11, 229, 0
55, 191, 11, 302, 11, 191, 11, 302, 0, 169, 11, 280, 0, 169, 11, 280, 0
56, 212, 11, 381, 14, 212, 11, 381, 0, 205, 11, 374, 0, 205, 11, 374, 0
