data\heuristics
FileIndex, V(original), T(original), E(original), tms(original), V(leaf), T(leaf), E(leaf), tms(leaf), V(deg2), T(deg2), E(deg2), tms(deg2), V(both), T(both), E(both), tms(both)
1, 6405, 16, 10454, 36, 6389, 16, 10438, 4, 5612, 16, 9655, 23, 5582, 16, 9624, 19
2, 7998, 16, 14734, 71, 7998, 16, 14734, 3, 7994, 16, 14730, 7, 7994, 16, 14730, 8
3, 8007, 24, 14743, 35, 8007, 24, 14743, 4, 8003, 24, 14739, 9, 8003, 24, 14739, 7
4, 19083, 24, 35636, 48, 19083, 24, 35636, 15, 19079, 24, 35632, 16, 19079, 24, 35632, 25
5, 8013, 30, 14749, 16, 8013, 30, 14749, 4, 8009, 30, 14745, 4, 8009, 30, 14745, 5
6, 19091, 31, 35644, 39, 19091, 31, 35644, 15, 19087, 31, 35640, 9, 19087, 31, 35640, 16
7, 38282, 34, 71521, 97, 38282, 34, 71521, 33, 38278, 34, 71517, 41, 38278, 34, 71517, 67
8, 8017, 36, 14753, 21, 8017, 36, 14753, 4, 8013, 36, 14749, 6, 8013, 36, 14749, 5
9, 3803, 38, 6213, 8, 3802, 38, 6212, 1, 3803, 38, 6213, 2, 3802, 38, 6212, 1
10, 2363, 40, 3761, 15, 2360, 40, 3758, 1, 2363, 40, 3761, 1, 2355, 40, 3752, 2
11, 19100, 40, 35653, 32, 19100, 40, 35653, 14, 19096, 40, 35649, 16, 19096, 40, 35649, 19
12, 38294, 45, 71533, 105, 38294, 45, 71533, 31, 38290, 45, 71529, 32, 38290, 45, 71529, 37
13, 550, 50, 5013, 15, 550, 50, 5013, 1, 550, 50, 5013, 0, 550, 50, 5013, 0
14, 1000, 50, 13500, 24, 1000, 50, 13500, 4, 1000, 50, 13500, 3, 1000, 50, 13500, 0
15, 1000, 50, 13500, 17, 1000, 50, 13500, 3, 1000, 50, 13500, 3, 1000, 50, 13500, 0
16, 1991, 51, 3176, 44, 1985, 51, 3170, 1, 1991, 51, 3176, 1, 1980, 51, 3165, 1
17, 3716, 52, 6750, 10, 3716, 52, 6750, 1, 3712, 52, 6746, 2, 3712, 52, 6746, 2
18, 19112, 53, 35665, 83, 19112, 53, 35665, 16, 19108, 53, 35661, 14, 19108, 53, 35661, 16
19, 38307, 58, 71546, 94, 38307, 58, 71546, 31, 38303, 58, 71542, 31, 38303, 58, 71542, 35
20, 838, 60, 1763, 26, 836, 60, 1761, 0, 837, 60, 1762, 0, 836, 60, 1761, 0
21, 1331, 61, 19965, 19, 1331, 61, 19965, 5, 1331, 61, 19965, 4, 1331, 61, 19965, 0
22, 1331, 61, 19965, 36, 1331, 61, 19965, 3, 1331, 61, 19965, 5, 1331, 61, 19965, 0
23, 1331, 61, 19965, 17, 1331, 61, 19965, 3, 1331, 61, 19965, 4, 1331, 61, 19965, 1
24, 670, 62, 1316, 17, 669, 62, 1315, 0, 670, 62, 1316, 1, 669, 62, 1315, 0
25, 512, 64, 2304, 4, 512, 64, 2304, 1, 512, 64, 2304, 0, 512, 64, 2304, 0
26, 512, 64, 2304, 22, 512, 64, 2304, 0, 512, 64, 2304, 0, 512, 64, 2304, 0
27, 1822, 64, 3610, 7, 1813, 64, 3601, 0, 1797, 64, 3585, 0, 1788, 64, 3576, 1
28, 2521, 66, 4858, 16, 2515, 65, 4852, 1, 2418, 66, 4755, 1, 2410, 63, 4747, 1
29, 987, 67, 1923, 6, 946, 67, 1882, 0, 980, 67, 1915, 0, 939, 67, 1874, 0
30, 11543, 68, 18429, 38, 11516, 68, 18402, 5, 9880, 68, 16755, 12, 9831, 68, 16704, 36
31, 1728, 74, 28512, 32, 1728, 74, 28512, 7, 1728, 74, 28512, 7, 1728, 74, 28512, 0
32, 1728, 74, 28512, 36, 1728, 74, 28512, 6, 1728, 74, 28512, 7, 1728, 74, 28512, 0
33, 1728, 74, 28512, 24, 1728, 74, 28512, 7, 1728, 74, 28512, 7, 1728, 74, 28512, 0
34, 729, 75, 1395, 12, 728, 75, 1394, 0, 728, 75, 1394, 0, 727, 75, 1393, 0
35, 1761, 76, 3370, 7, 1745, 76, 3354, 1, 1686, 76, 3295, 1, 1671, 76, 3280, 0
36, 729, 76, 4368, 18, 729, 76, 4368, 0, 729, 76, 4368, 1, 729, 76, 4368, 0
37, 2346, 78, 4656, 8, 2320, 78, 4630, 0, 2307, 78, 4617, 1, 2298, 78, 4608, 1
38, 833, 79, 1595, 8, 820, 79, 1582, 1, 826, 79, 1588, 0, 813, 79, 1575, 0
39, 320, 80, 640, 14, 297, 79, 617, 0, 287, 80, 607, 0, 262, 79, 582, 0
40, 320, 80, 640, 12, 292, 78, 612, 0, 287, 80, 604, 0, 258, 78, 575, 1
41, 320, 80, 1845, 6, 320, 80, 1845, 0, 320, 80, 1845, 0, 320, 80, 1845, 0
42, 320, 80, 1845, 13, 320, 80, 1845, 1, 320, 80, 1845, 1, 320, 80, 1845, 0
43, 1491, 80, 2831, 8, 1486, 80, 2826, 0, 1455, 80, 2794, 0, 1449, 80, 2788, 1
44, 320, 80, 10208, 38, 320, 80, 10208, 1, 320, 80, 10208, 2, 320, 80, 10208, 0
45, 320, 80, 10208, 27, 320, 80, 10208, 2, 320, 80, 10208, 1, 320, 80, 10208, 0
46, 320, 80, 51040, 406, 320, 80, 51040, 18, 320, 80, 51040, 14, 320, 80, 51040, 0
47, 320, 80, 51040, 325, 320, 80, 51040, 19, 320, 80, 51040, 13, 320, 80, 51040, 0
48, 8062, 81, 14798, 39, 8062, 81, 14798, 4, 8058, 81, 14794, 3, 8058, 81, 14794, 4
49, 3168, 83, 6220, 6, 3161, 83, 6213, 1, 3057, 83, 6109, 1, 3051, 83, 6103, 1
50, 2356, 84, 4547, 14, 2336, 84, 4527, 1, 2241, 84, 4432, 1, 2221, 84, 4412, 1
51, 528, 85, 1017, 5, 526, 85, 1015, 1, 527, 85, 1016, 0, 526, 85, 1015, 0
52, 1360, 86, 2607, 7, 1359, 86, 2606, 0, 1324, 86, 2571, 1, 1323, 86, 2570, 1
